open,high,low,close,volume,domestic_series,federal_financing_bank,foreign_series,government_account_series,government_account_series_inflation_securities,special_purpose_vehicle,state_and_local_government_series,total_interest-bearing_debt,total_marketable,total_non-marketable,treasury_bills,treasury_bonds,treasury_floating_rate_notes_(frn),treasury_inflation-protected_securities_(tips),treasury_notes,united_states_savings_inflation_securities,united_states_savings_securities,weighted_sentiment,price_direction
16980.07,17108.25,16791.02,17094.71,23096.43686725,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1361706199745337,Up
17094.25,17158.42,16863.58,16888.53,14081.4506716,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.3477664424313439,Down
16889.17,17199.99,16882.86,17108.9,16961.10828839,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.502235223352909,Up
17108.9,17424.59,16865.22,16966.05,33618.45109026,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.3262724527945885,Down
16966.05,17111.35,16904.04,17089.05,26693.6101171,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0985791094841495,Up
17089.18,17140.22,16679.52,16840.0,22635.46848793,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4204712691215367,Down
16839.76,17300.59,16738.0,17226.01,23533.23453743,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.0525614591315388,Up
17226.03,17352.62,17060.69,17130.59,20976.63699864,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.6646782645812401,Down
17130.49,17227.64,17093.42,17128.1,7860.58687575,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.2165070966762654,Down
17128.1,17271.92,17073.19,17085.21,9948.85267032,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4015954002737998,Down
17085.62,17244.63,16875.83,17211.66,20659.65709227,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0362672263070156,Up
17212.9,17999.99,17089.17,17773.18,38316.03172467,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4335359527005089,Up
17772.98,18385.36,17660.93,17804.97,49295.42072146,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.385517076574839,Up
17805.36,17856.26,17275.02,17357.96,37834.73808374,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.0860402727127075,Down
17359.1,17525.0,16529.53,16632.64,47159.86300655,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1944810404018922,Down
16634.29,16799.99,16585.64,16782.25,18446.6836015,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.4770420762625607,Up
16782.23,16875.0,16663.76,16741.16,11073.43886205,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.3170746681236085,Down
16742.33,16822.84,16273.4,16439.74,26856.08598724,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1806751461823781,Down
16439.98,17060.86,16398.22,16897.65,34330.28235168,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4159743758472236,Up
16896.17,16926.05,16725.78,16826.56,16743.62189364,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0624025939032435,Down
16825.18,16868.82,16560.84,16815.51,21269.7673979,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0832391128937403,Down
16815.28,16943.29,16719.57,16777.21,21958.88697726,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1270618961615995,Down
16777.88,16863.62,16775.88,16837.12,9502.80320659,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.116887988448143,Up
16837.24,16853.88,16720.89,16829.02,7065.21656572,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.2357474962870279,Down
16829.19,16939.81,16787.97,16917.96,8493.27661167,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.2725089935156015,Up
16916.66,16967.0,16585.97,16698.73,17482.09318834,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.1715306624289481,Down
16698.31,16777.35,16460.0,16539.66,23345.55126307,7.577,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4047727699632997,Down
