volume,united_states_savings_inflation_securities,total_interest-bearing_debt,foreign_series,total_marketable,treasury_bills,government_account_series_inflation_securities,weighted_sentiment,special_purpose_vehicle,treasury_floating_rate_notes_(frn),treasury_bonds,treasury_inflation-protected_securities_(tips),price_direction
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,High,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryHigh,Low,VeryLow,VeryLow,VeryLow,Down
Low,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Down
Medium,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,High,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
Medium,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Down
Medium,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
Low,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,VeryLow,Down
Low,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,VeryLow,VeryLow,VeryLow,Down
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,VeryLow,VeryLow,VeryLow,Down
Medium,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryHigh,Low,Low,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,Low,VeryLow,VeryLow,Up
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,High,Low,Low,VeryLow,VeryLow,Up
High,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Medium,Low,Low,VeryLow,VeryLow,Down
VeryHigh,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,Low,Low,Low,VeryLow,VeryLow,Up
Low,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,Down
Medium,VeryHigh,VeryLow,1,VeryLow,VeryLow,VeryLow,VeryLow,Low,Low,VeryLow,VeryLow,Up
