volume,federal_financing_bank,foreign_series,government_account_series,government_account_series_inflation_securities,special_purpose_vehicle,state_and_local_government_series,total_interest-bearing_debt,total_marketable,total_non-marketable,treasury_bills,treasury_bonds,treasury_floating_rate_notes_(frn),treasury_inflation-protected_securities_(tips),treasury_notes,united_states_savings_inflation_securities,united_states_savings_securities,weighted_sentiment,price_direction,volume_category,federal_financing_bank_category,sentiment_category
23096.43686725,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1361706199745337,Up,VeryHigh,Bank4,Negative
14081.4506716,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.3477664424313439,Down,High,Bank4,VeryNegative
16961.10828839,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.502235223352909,Up,High,Bank4,Positive
33618.45109026,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.3262724527945885,Down,VeryHigh,Bank4,Neutral
26693.6101171,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0985791094841495,Up,VeryHigh,Bank4,VeryNegative
22635.46848793,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4204712691215367,Down,VeryHigh,Bank4,Neutral
23533.23453743,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.0525614591315388,Up,VeryHigh,Bank4,VeryNegative
20976.63699864,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.6646782645812401,Down,VeryHigh,Bank4,VeryPositive
7860.58687575,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.2165070966762654,Down,Low,Bank4,Negative
9948.85267032,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4015954002737998,Down,Medium,Bank4,Neutral
20659.65709227,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0362672263070156,Up,VeryHigh,Bank4,VeryNegative
38316.03172467,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4335359527005089,Up,VeryHigh,Bank4,Positive
49295.42072146,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.385517076574839,Up,VeryHigh,Bank4,Neutral
37834.73808374,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.0860402727127075,Down,VeryHigh,Bank4,VeryNegative
47159.86300655,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1944810404018922,Down,VeryHigh,Bank4,Negative
18446.6836015,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.4770420762625607,Up,VeryHigh,Bank4,VeryNegative
11073.43886205,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.3170746681236085,Down,Medium,Bank4,Neutral
26856.08598724,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1806751461823781,Down,VeryHigh,Bank4,Negative
34330.28235168,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4159743758472236,Up,VeryHigh,Bank4,Neutral
16743.62189364,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0624025939032435,Down,High,Bank4,VeryNegative
21269.7673979,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.0832391128937403,Down,VeryHigh,Bank4,VeryNegative
21958.88697726,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.1270618961615995,Down,VeryHigh,Bank4,Negative
9502.80320659,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.116887988448143,Up,Medium,Bank4,VeryNegative
7065.21656572,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.2357474962870279,Down,Low,Bank4,Negative
8493.27661167,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.2725089935156015,Up,Low,Bank4,VeryNegative
17482.09318834,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.1715306624289481,Down,High,Bank4,VeryNegative
23345.55126307,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.4047727699632997,Down,VeryHigh,Bank4,Neutral
20088.46487471,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.2879031651160297,Up,VeryHigh,Bank4,VeryNegative
26532.28003447,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,0.3543328916204387,Down,VeryHigh,Bank4,Neutral
15414.5294044,2.529,7.312,2.127,0.988,3.324,1.806,2.217,2.237,2.135,3.456,3.012,4.104,0.487,1.68,10.148,2.694,-0.2122048413753509,Down,High,Bank4,VeryNegative
10668.73697739,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,-0.2208991754800081,Up,Medium,Bank4,VeryNegative
13560.46017964,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.6731049631323133,Up,High,Bank4,VeryPositive
17612.35527749,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.1848082182736232,Up,High,Bank4,Negative
25922.70680625,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.4457485550834286,Up,VeryHigh,Bank4,Positive
14918.22913349,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.3210325585257622,Down,High,Bank4,Neutral
24235.38704157,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.1319836779282643,Up,VeryHigh,Bank4,Negative
5680.11799379,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,-0.0758730795648363,Down,Low,Bank4,VeryNegative
9195.45985397,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,-0.2026939941777123,Up,Medium,Bank4,VeryNegative
33252.15435855,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.2698205264715047,Up,VeryHigh,Bank4,Negative
24901.57485784,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.0824073989601696,Up,VeryHigh,Bank4,VeryNegative
27251.01602186,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.1184451967477798,Up,VeryHigh,Bank4,Negative
61938.44269045,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.4038729168750621,Up,VeryHigh,Bank4,Neutral
55049.6223488,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.5567530112607139,Up,VeryHigh,Bank4,Positive
58239.87328811,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,-0.0537178973997792,Up,VeryHigh,Bank4,VeryNegative
25709.30241812,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.6634322206179301,Down,VeryHigh,Bank4,VeryPositive
41151.35428763,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.8206363264591462,Up,VeryHigh,Bank4,VeryPositive
32656.47978348,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.4388144305258086,Down,VeryHigh,Bank4,Positive
34600.25647175,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.3649714074134826,Down,VeryHigh,Bank4,Neutral
23436.75404601,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.1091849119574935,Up,VeryHigh,Bank4,Negative
32810.59587882,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.5815749186056631,Up,VeryHigh,Bank4,Positive
32657.60500465,2.529,7.312,2.508,1.051,3.382,1.923,2.362,2.32,2.508,3.891,3.014,4.405,0.497,1.697,9.621,2.786,0.4960714745521544,Up,VeryHigh,Bank4,Positive
